"id" "cell"
"cg26464892" "cg26464892" "Dura"
"cg04858987" "cg04858987" "Dura"
"cg24260156" "cg24260156" "Dura"
"cg13613180" "cg13613180" "Dura"
"cg18043888" "cg18043888" "Dura"
"cg27268556" "cg27268556" "Dura"
"cg20361540" "cg20361540" "Dura"
"cg14272084" "cg14272084" "Dura"
"cg04807669" "cg04807669" "Dura"
"cg21766667" "cg21766667" "Dura"
"cg19886777" "cg19886777" "Dura"
"cg06866827" "cg06866827" "Dura"
"cg12080831" "cg12080831" "Dura"
"cg02323277" "cg02323277" "Dura"
"cg12446198" "cg12446198" "Dura"
"cg04303439" "cg04303439" "Dura"
"cg00927256" "cg00927256" "Dura"
"cg02560642" "cg02560642" "Dura"
"cg24847366" "cg24847366" "Dura"
"cg09521575" "cg09521575" "Dura"
"cg07385723" "cg07385723" "Dura"
"cg26038697" "cg26038697" "Dura"
"cg00950265" "cg00950265" "Dura"
"cg02539809" "cg02539809" "Dura"
"cg06083412" "cg06083412" "Dura"
"cg08609578" "cg08609578" "Dura"
"cg27655168" "cg27655168" "Dura"
"cg06422883" "cg06422883" "Dura"
"cg12292134" "cg12292134" "Dura"
"cg10684905" "cg10684905" "Dura"
"cg14947955" "cg14947955" "Dura"
"cg01998089" "cg01998089" "Dura"
"cg00503731" "cg00503731" "Dura"
"cg24511054" "cg24511054" "Dura"
"cg23731595" "cg23731595" "Dura"
"cg21122370" "cg21122370" "Dura"
"cg08455073" "cg08455073" "Dura"
"cg14977875" "cg14977875" "Dura"
"cg06363034" "cg06363034" "Dura"
"cg02119955" "cg02119955" "Dura"
"cg06948737" "cg06948737" "Dura"
"cg13722605" "cg13722605" "Dura"
"cg02090654" "cg02090654" "Dura"
"cg13116733" "cg13116733" "Dura"
"cg10907582" "cg10907582" "Dura"
"cg21593015" "cg21593015" "Dura"
"cg13832988" "cg13832988" "Dura"
"cg08384155" "cg08384155" "Dura"
"cg21796935" "cg21796935" "Dura"
"cg26643476" "cg26643476" "Dura"
"cg01240795" "cg01240795" "Dura"
"cg01541846" "cg01541846" "Dura"
"cg08949011" "cg08949011" "Dura"
"cg07811262" "cg07811262" "Dura"
"cg13351249" "cg13351249" "Dura"
"cg05888894" "cg05888894" "Dura"
"cg10494639" "cg10494639" "Dura"
"cg04492459" "cg04492459" "Dura"
"cg24206872" "cg24206872" "Dura"
"cg07493232" "cg07493232" "Dura"
"cg25899969" "cg25899969" "Dura"
"cg09444426" "cg09444426" "Dura"
"cg07755752" "cg07755752" "Dura"
"cg21611868" "cg21611868" "Dura"
"cg04902968" "cg04902968" "Dura"
"cg15030949" "cg15030949" "Dura"
"cg01782668" "cg01782668" "Dura"
"cg16725535" "cg16725535" "Dura"
"cg09359114" "cg09359114" "Dura"
"cg09970511" "cg09970511" "Dura"
"cg05622577" "cg05622577" "Dura"
"cg10982364" "cg10982364" "Dura"
"cg22237425" "cg22237425" "Dura"
"cg00951204" "cg00951204" "Dura"
"cg14616541" "cg14616541" "Dura"
"cg12790424" "cg12790424" "Dura"
"cg12285605" "cg12285605" "Dura"
"cg22488081" "cg22488081" "Dura"
"cg12824952" "cg12824952" "Dura"
"cg18564849" "cg18564849" "Dura"
"cg12254614" "cg12254614" "Dura"
"cg15694704" "cg15694704" "Dura"
"cg06510410" "cg06510410" "Dura"
"cg07906632" "cg07906632" "Dura"
"cg00935894" "cg00935894" "Dura"
"cg16520685" "cg16520685" "Dura"
"cg06694734" "cg06694734" "Dura"
"cg04004561" "cg04004561" "Dura"
"cg00153543" "cg00153543" "Dura"
"cg27442047" "cg27442047" "Dura"
"cg23340350" "cg23340350" "Dura"
"cg23834919" "cg23834919" "Dura"
"cg06662476" "cg06662476" "Dura"
"cg02583740" "cg02583740" "Dura"
"cg26570165" "cg26570165" "Dura"
"cg25507719" "cg25507719" "Dura"
"cg26653990" "cg26653990" "Dura"
"cg19996406" "cg19996406" "Dura"
"cg17907200" "cg17907200" "Dura"
"cg17904129" "cg17904129" "Dura"
"cg09502177" "cg09502177" "Dura"
"cg22064048" "cg22064048" "Dura"
"cg05104639" "cg05104639" "Dura"
"cg15756091" "cg15756091" "Dura"
"cg14431850" "cg14431850" "Dura"
"cg12712768" "cg12712768" "Dura"
"cg16867086" "cg16867086" "Dura"
"cg20002177" "cg20002177" "Dura"
"cg01947301" "cg01947301" "Dura"
"cg14417498" "cg14417498" "Dura"
"cg04499646" "cg04499646" "Dura"
"cg12646804" "cg12646804" "Dura"
"cg06843180" "cg06843180" "Dura"
"cg05884192" "cg05884192" "Dura"
"cg02852529" "cg02852529" "Dura"
"cg12476579" "cg12476579" "Dura"
"cg00157572" "cg00157572" "Dura"
"cg25469418" "cg25469418" "Dura"
"cg07250771" "cg07250771" "Dura"
"cg18652721" "cg18652721" "Dura"
"cg09786608" "cg09786608" "Dura"
"cg02330726" "cg02330726" "Dura"
"cg05716270" "cg05716270" "Dura"
"cg19366091" "cg19366091" "Dura"
"cg14873600" "cg14873600" "Dura"
"cg00431114" "cg00431114" "Dura"
"cg13522776" "cg13522776" "Dura"
"cg24658452" "cg24658452" "Dura"
"cg05164350" "cg05164350" "Dura"
"cg08888487" "cg08888487" "Dura"
"cg12174329" "cg12174329" "Dura"
"cg01067216" "cg01067216" "Dura"
"cg20783970" "cg20783970" "Dura"
"cg27272853" "cg27272853" "Dura"
"cg25401482" "cg25401482" "Dura"
"cg06863300" "cg06863300" "Dura"
"cg11419575" "cg11419575" "Dura"
"cg05316065" "cg05316065" "Dura"
"cg25052312" "cg25052312" "Dura"
"cg10046227" "cg10046227" "Dura"
"cg19539667" "cg19539667" "Dura"
"cg03048889" "cg03048889" "Dura"
"cg11688578" "cg11688578" "Dura"
"cg05715123" "cg05715123" "Dura"
"cg02803141" "cg02803141" "Dura"
"cg24541176" "cg24541176" "Dura"
"cg13978856" "cg13978856" "Dura"
"cg09247020" "cg09247020" "Dura"
"cg12146073" "cg12146073" "Dura"
"cg26452081" "cg26452081" "Dura"
"cg02295872" "cg02295872" "Dura"
"cg10892950" "cg10892950" "Dura"
"cg24851586" "cg24851586" "Dura"
"cg22162225" "cg22162225" "Dura"
"cg25746092" "cg25746092" "Dura"
"cg16714273" "cg16714273" "Dura"
"cg01820962" "cg01820962" "Dura"
"cg06830500" "cg06830500" "Dura"
"cg17255752" "cg17255752" "Dura"
"cg15634922" "cg15634922" "Dura"
"cg01583021" "cg01583021" "Dura"
"cg22026389" "cg22026389" "Dura"
"cg12313969" "cg12313969" "Dura"
"cg09275704" "cg09275704" "Dura"
"cg09232478" "cg09232478" "Dura"
"cg26089753" "cg26089753" "Dura"
"cg00052385" "cg00052385" "Dura"
"cg21064916" "cg21064916" "Dura"
"cg27268708" "cg27268708" "Dura"
"cg15401418" "cg15401418" "Dura"
"cg10857774" "cg10857774" "Dura"
"cg25104233" "cg25104233" "Dura"
"cg08963616" "cg08963616" "Dura"
"cg21771679" "cg21771679" "Dura"
"cg04904385" "cg04904385" "Dura"
"cg03310518" "cg03310518" "Dura"
"cg23315892" "cg23315892" "Dura"
"cg15043384" "cg15043384" "Dura"
"cg27150476" "cg27150476" "Dura"
"cg07986257" "cg07986257" "Dura"
"cg02622809" "cg02622809" "Dura"
"cg05422553" "cg05422553" "Dura"
"cg25677394" "cg25677394" "Dura"
"cg16636271" "cg16636271" "Dura"
"cg19478478" "cg19478478" "Dura"
"cg12002139" "cg12002139" "Dura"
"cg26808637" "cg26808637" "Dura"
"cg05308495" "cg05308495" "Dura"
"cg02693033" "cg02693033" "Dura"
"cg04751089" "cg04751089" "Dura"
"cg10216717" "cg10216717" "Dura"
"cg19201144" "cg19201144" "Dura"
"cg15393925" "cg15393925" "Dura"
"cg21453420" "cg21453420" "Dura"
"cg17235897" "cg17235897" "Dura"
"cg21434530" "cg21434530" "Dura"
"cg07602008" "cg07602008" "Dura"
"cg09110634" "cg09110634" "Dura"
"cg06518884" "cg06518884" "Dura"
"cg14508791" "cg14508791" "Dura"
"cg14888916" "cg14888916" "Dura"
"cg17204834" "cg17204834" "Dura"
"cg01620701" "cg01620701" "Dura"
"cg04670874" "cg04670874" "Dura"
"cg01694939" "cg01694939" "Dura"
"cg05890855" "cg05890855" "Dura"
"cg25963980" "cg25963980" "Dura"
"cg02821342" "cg02821342" "Dura"
"cg16040341" "cg16040341" "Dura"
"cg06436673" "cg06436673" "Dura"
"cg15972264" "cg15972264" "Dura"
"cg08149193" "cg08149193" "Dura"
"cg10625686" "cg10625686" "Dura"
"cg24924243" "cg24924243" "Dura"
"cg13630560" "cg13630560" "Dura"
"cg24072331" "cg24072331" "Dura"
"cg05828605" "cg05828605" "Dura"
"cg14262027" "cg14262027" "Dura"
"cg16168668" "cg16168668" "Dura"
"cg03282295" "cg03282295" "Dura"
"cg10892497" "cg10892497" "Dura"
"cg00742465" "cg00742465" "Dura"
"cg10034808" "cg10034808" "Dura"
"cg25386234" "cg25386234" "Dura"
"cg19823793" "cg19823793" "Dura"
"cg10243939" "cg10243939" "Dura"
"cg07537152" "cg07537152" "Dura"
"cg01270241" "cg01270241" "Dura"
"cg14515517" "cg14515517" "Dura"
"cg06324094" "cg06324094" "Dura"
"cg01372249" "cg01372249" "Dura"
"cg27599015" "cg27599015" "Dura"
"cg18575863" "cg18575863" "Dura"
"cg12179658" "cg12179658" "Dura"
"cg15323253" "cg15323253" "Dura"
"cg26031954" "cg26031954" "Dura"
"cg26166817" "cg26166817" "Dura"
"cg11046836" "cg11046836" "Dura"
"cg03444722" "cg03444722" "Dura"
"cg01361263" "cg01361263" "Dura"
"cg02115117" "cg02115117" "Dura"
"cg19993680" "cg19993680" "Dura"
"cg17174814" "cg17174814" "Dura"
"cg02158392" "cg02158392" "Dura"
"cg27502952" "cg27502952" "Dura"
"cg23960736" "cg23960736" "Dura"
"cg14313833" "cg14313833" "Dura"
"cg02558132" "cg02558132" "Dura"
"cg18396992" "cg18396992" "Dura"
"cg05543909" "cg05543909" "Dura"
"cg24667756" "cg24667756" "Dura"
"cg04192492" "cg04192492" "Dura"
"cg19481513" "cg19481513" "Dura"
"cg26875384" "cg26875384" "Dura"
"cg26344867" "cg26344867" "Dura"
"cg14576436" "cg14576436" "Dura"
"cg15358855" "cg15358855" "Dura"
"cg18192417" "cg18192417" "Dura"
"cg14204784" "cg14204784" "Dura"
"cg27402634" "cg27402634" "Dura"
"cg10529613" "cg10529613" "Dura"
"cg27639620" "cg27639620" "Dura"
"cg07676024" "cg07676024" "Dura"
"cg05138203" "cg05138203" "Dura"
"cg15056794" "cg15056794" "Dura"
"cg07793905" "cg07793905" "Dura"
"cg23931734" "cg23931734" "Dura"
"cg16338313" "cg16338313" "Dura"
"cg06034336" "cg06034336" "Dura"
"cg00355673" "cg00355673" "Dura"
"cg09327582" "cg09327582" "Dura"
"cg26631397" "cg26631397" "Dura"
"cg17422915" "cg17422915" "Dura"
"cg01925393" "cg01925393" "Dura"
"cg00068428" "cg00068428" "Dura"
"cg19240678" "cg19240678" "Dura"
"cg14632485" "cg14632485" "Dura"
"cg07109115" "cg07109115" "Dura"
"cg03167521" "cg03167521" "Dura"
"cg22576976" "cg22576976" "Dura"
"cg11010909" "cg11010909" "Dura"
"cg15026265" "cg15026265" "Dura"
"cg09491944" "cg09491944" "Dura"
"cg01948210" "cg01948210" "Dura"
"cg15509361" "cg15509361" "Dura"
"cg09795809" "cg09795809" "Dura"
"cg27485596" "cg27485596" "Dura"
"cg07870914" "cg07870914" "Dura"
"cg02479022" "cg02479022" "Dura"
"cg22332339" "cg22332339" "Dura"
"cg13415078" "cg13415078" "Dura"
"cg08439439" "cg08439439" "Dura"
"cg27036936" "cg27036936" "Dura"
"cg07590529" "cg07590529" "Dura"
"cg22871653" "cg22871653" "Dura"
"cg14325779" "cg14325779" "Dura"
"cg06167221" "cg06167221" "Dura"
"cg11861448" "cg11861448" "Dura"
"cg02927821" "cg02927821" "Dura"
"cg09247692" "cg09247692" "Dura"
"cg21106899" "cg21106899" "Dura"
"cg22430700" "cg22430700" "Dura"
"cg12379383" "cg12379383" "Dura"
"cg19507256" "cg19507256" "Dura"
"cg10236245" "cg10236245" "Dura"
"cg02794451" "cg02794451" "Dura"
"cg06935438" "cg06935438" "Dura"
"cg00952822" "cg00952822" "Dura"
"cg01138164" "cg01138164" "Dura"
"cg07146073" "cg07146073" "Dura"
"cg27621997" "cg27621997" "Dura"
"cg05846378" "cg05846378" "Dura"
"cg11786966" "cg11786966" "Dura"
"cg08160224" "cg08160224" "Dura"
"cg15347108" "cg15347108" "Dura"
"cg26889437" "cg26889437" "Dura"
"cg07357716" "cg07357716" "Dura"
"cg03142741" "cg03142741" "Dura"
"cg20271865" "cg20271865" "Dura"
"cg16643422" "cg16643422" "Dura"
"cg07675998" "cg07675998" "Dura"
"cg07137336" "cg07137336" "Dura"
"cg03240473" "cg03240473" "Dura"
"cg06956006" "cg06956006" "Dura"
"cg08402107" "cg08402107" "Dura"
"cg10214640" "cg10214640" "Dura"
"cg08135406" "cg08135406" "Dura"
"cg14414943" "cg14414943" "Dura"
"cg18504989" "cg18504989" "Dura"
"cg03048083" "cg03048083" "Dura"
"cg08418279" "cg08418279" "Dura"
"cg27514336" "cg27514336" "Dura"
"cg10945274" "cg10945274" "Dura"
"cg00554604" "cg00554604" "Dura"
"cg24036830" "cg24036830" "Dura"
"cg05368910" "cg05368910" "Dura"
"cg12710228" "cg12710228" "Dura"
"cg01679512" "cg01679512" "Dura"
"cg07330075" "cg07330075" "Dura"
"cg01258997" "cg01258997" "Dura"
"cg08615333" "cg08615333" "Dura"
"cg06393098" "cg06393098" "Dura"
"cg24613043" "cg24613043" "Dura"
"cg27638309" "cg27638309" "Dura"
"cg14295482" "cg14295482" "Dura"
"cg00301555" "cg00301555" "Dura"
"cg27169559" "cg27169559" "Dura"
"cg09864050" "cg09864050" "Dura"
"cg07139449" "cg07139449" "Dura"
"cg14695751" "cg14695751" "Dura"
"cg17466346" "cg17466346" "Dura"
"cg06957447" "cg06957447" "Dura"
"cg10414946" "cg10414946" "Dura"
"cg21688209" "cg21688209" "Dura"
"cg22118297" "cg22118297" "Dura"
"cg04908380" "cg04908380" "Dura"
"cg25067242" "cg25067242" "Dura"
"cg06351537" "cg06351537" "Dura"
"cg11001769" "cg11001769" "Dura"
"cg10105699" "cg10105699" "Dura"
"cg17265120" "cg17265120" "Dura"
"cg17873456" "cg17873456" "Dura"
"cg19770671" "cg19770671" "Dura"
"cg25058261" "cg25058261" "Dura"
"cg13215862" "cg13215862" "Dura"
"cg05359518" "cg05359518" "Dura"
"cg04166294" "cg04166294" "Dura"
"cg27504195" "cg27504195" "Dura"
"cg27334919" "cg27334919" "Dura"
"cg27181148" "cg27181148" "Dura"
"cg03225882" "cg03225882" "Dura"
"cg14611455" "cg14611455" "Dura"
"cg22772386" "cg22772386" "Dura"
"cg06387669" "cg06387669" "Dura"
"cg01223086" "cg01223086" "Dura"
"cg16982073" "cg16982073" "Dura"
"cg13458609" "cg13458609" "Dura"
"cg17436134" "cg17436134" "Dura"
"cg07271996" "cg07271996" "Dura"
"cg11801524" "cg11801524" "Dura"
"cg02495767" "cg02495767" "Dura"
"cg16698913" "cg16698913" "Dura"
"cg02668055" "cg02668055" "Dura"
"cg16470762" "cg16470762" "Dura"
"cg13653802" "cg13653802" "Dura"
"cg18355562" "cg18355562" "Dura"
"cg26371913" "cg26371913" "Dura"
"cg16547869" "cg16547869" "Dura"
"cg12400025" "cg12400025" "Dura"
"cg20560283" "cg20560283" "Dura"
"cg13773247" "cg13773247" "Dura"
"cg09483904" "cg09483904" "Dura"
"cg02289739" "cg02289739" "Dura"
"cg21443699" "cg21443699" "Dura"
"cg07957294" "cg07957294" "Dura"
"cg10165689" "cg10165689" "Dura"
"cg25221774" "cg25221774" "Dura"
"cg06358108" "cg06358108" "Dura"
"cg02467899" "cg02467899" "Dura"
"cg14502818" "cg14502818" "Dura"
"cg03587117" "cg03587117" "Dura"
"cg14905634" "cg14905634" "Dura"
"cg03558688" "cg03558688" "Dura"
"cg14098780" "cg14098780" "Dura"
"cg20541132" "cg20541132" "Dura"
"cg20250426" "cg20250426" "Dura"
"cg15852787" "cg15852787" "Dura"
"cg11594731" "cg11594731" "Dura"
"cg19456540" "cg19456540" "Dura"
"cg20208979" "cg20208979" "Dura"
"cg25028189" "cg25028189" "Dura"
"cg27393652" "cg27393652" "Dura"
"cg16573044" "cg16573044" "Dura"
"cg20700731" "cg20700731" "Dura"
"cg22840219" "cg22840219" "Dura"
"cg02710163" "cg02710163" "Dura"
"cg17143643" "cg17143643" "Dura"
"cg26116669" "cg26116669" "Dura"
"cg08532914" "cg08532914" "Dura"
"cg27297441" "cg27297441" "Dura"
"cg16893634" "cg16893634" "Dura"
"cg07464408" "cg07464408" "Dura"
"cg04799980" "cg04799980" "Dura"
"cg20988573" "cg20988573" "Dura"
"cg17694851" "cg17694851" "Dura"
"cg10043760" "cg10043760" "Dura"
"cg23246703" "cg23246703" "Dura"
"cg16634971" "cg16634971" "Dura"
"cg23594656" "cg23594656" "Dura"
"cg16663155" "cg16663155" "Dura"
"cg17484331" "cg17484331" "Dura"
"cg19674178" "cg19674178" "Dura"
"cg08043868" "cg08043868" "Dura"
"cg26142490" "cg26142490" "Dura"
"cg27474223" "cg27474223" "Dura"
"cg18637232" "cg18637232" "Dura"
"cg17496788" "cg17496788" "Dura"
"cg07474296" "cg07474296" "Dura"
"cg02360001" "cg02360001" "Dura"
"cg02192520" "cg02192520" "Dura"
"cg00968640" "cg00968640" "Dura"
"cg20555234" "cg20555234" "Dura"
"cg06329587" "cg06329587" "Dura"
"cg02394512" "cg02394512" "Dura"
"cg06966113" "cg06966113" "Dura"
"cg22584335" "cg22584335" "Dura"
"cg11068238" "cg11068238" "Dura"
"cg13939978" "cg13939978" "Dura"
"cg16264595" "cg16264595" "Dura"
"cg04013024" "cg04013024" "Dura"
"cg00886812" "cg00886812" "Dura"
"cg17589284" "cg17589284" "Dura"
"cg00881378" "cg00881378" "Dura"
"cg17017189" "cg17017189" "Dura"
"cg23523811" "cg23523811" "Dura"
"cg23031135" "cg23031135" "Dura"
"cg23971182" "cg23971182" "Dura"
"cg01881444" "cg01881444" "Dura"
"cg01097897" "cg01097897" "Dura"
"cg03938369" "cg03938369" "Dura"
"cg17807001" "cg17807001" "Dura"
"cg23995753" "cg23995753" "Dura"
"cg08994082" "cg08994082" "Dura"
"cg17744605" "cg17744605" "Dura"
"cg16531622" "cg16531622" "Dura"
"cg26876664" "cg26876664" "Dura"
"cg02524236" "cg02524236" "Dura"
"cg22556898" "cg22556898" "Dura"
"cg10339295" "cg10339295" "Dura"
"cg15123730" "cg15123730" "Dura"
"cg06343869" "cg06343869" "Dura"
"cg13447099" "cg13447099" "Dura"
"cg15831743" "cg15831743" "Dura"
"cg17114501" "cg17114501" "Dura"
"cg16693872" "cg16693872" "Dura"
"cg07862235" "cg07862235" "Dura"
"cg16072192" "cg16072192" "Dura"
"cg01452169" "cg01452169" "Dura"
"cg06962746" "cg06962746" "Dura"
"cg13778274" "cg13778274" "Dura"
"cg24483493" "cg24483493" "Dura"
"cg07825681" "cg07825681" "Dura"
"cg26298855" "cg26298855" "Dura"
"cg22324567" "cg22324567" "Dura"
"cg01733284" "cg01733284" "Dura"
"cg00277753" "cg00277753" "Dura"
"cg17104738" "cg17104738" "Dura"
"cg23298782" "cg23298782" "Dura"
"cg04827020" "cg04827020" "Dura"
"cg22118112" "cg22118112" "Dura"
"cg04737124" "cg04737124" "Dura"
"cg08993681" "cg08993681" "Dura"
"cg21736476" "cg21736476" "Dura"
"cg23350744" "cg23350744" "Dura"
"cg05089464" "cg05089464" "Dura"
"cg17274742" "cg17274742" "Dura"
"cg12760869" "cg12760869" "Dura"
"cg10935494" "cg10935494" "Dura"
"cg04098458" "cg04098458" "Dura"
"cg24839533" "cg24839533" "Dura"
"cg01446627" "cg01446627" "Dura"
"cg24321971" "cg24321971" "Dura"
"cg08775211" "cg08775211" "Dura"
"cg12960696" "cg12960696" "Dura"
"cg22933582" "cg22933582" "Dura"
"cg13223107" "cg13223107" "Dura"
"cg18638330" "cg18638330" "Dura"
"cg13146040" "cg13146040" "Dura"
"cg07091207" "cg07091207" "Dura"
"cg25637894" "cg25637894" "Dura"
"cg00731232" "cg00731232" "Dura"
"cg23518541" "cg23518541" "Dura"
"cg08818284" "cg08818284" "Dura"
"cg04268254" "cg04268254" "Dura"
"cg25335333" "cg25335333" "Dura"
"cg10652915" "cg10652915" "Dura"
"cg24641186" "cg24641186" "Dura"
"cg07160540" "cg07160540" "Dura"
"cg19870698" "cg19870698" "Dura"
"cg03922381" "cg03922381" "Dura"
"cg27030081" "cg27030081" "Dura"
"cg18043916" "cg18043916" "Dura"
"cg02259698" "cg02259698" "Dura"
"cg07703790" "cg07703790" "Dura"
"cg22892373" "cg22892373" "Dura"
"cg08266712" "cg08266712" "Dura"
"cg11059712" "cg11059712" "Dura"
"cg10472320" "cg10472320" "Dura"
"cg14196225" "cg14196225" "Dura"
"cg00349608" "cg00349608" "Dura"
"cg17357600" "cg17357600" "Dura"
"cg25611057" "cg25611057" "Dura"
"cg23044884" "cg23044884" "Dura"
"cg16663739" "cg16663739" "Dura"
"cg20949198" "cg20949198" "Dura"
"cg21553283" "cg21553283" "Dura"
"cg06288696" "cg06288696" "Dura"
"cg25226226" "cg25226226" "Dura"
"cg08951903" "cg08951903" "Dura"
"cg04804321" "cg04804321" "Dura"
"cg18005280" "cg18005280" "Dura"
"cg26150981" "cg26150981" "Dura"
"cg27230959" "cg27230959" "Dura"
"cg16876790" "cg16876790" "Dura"
"cg04049240" "cg04049240" "Dura"
"cg05941106" "cg05941106" "Dura"
"cg13369099" "cg13369099" "Dura"
"cg03168922" "cg03168922" "Dura"
"cg06457736" "cg06457736" "Dura"
"cg11735242" "cg11735242" "Dura"
"cg18321354" "cg18321354" "Dura"
"cg04555941" "cg04555941" "Dura"
"cg01417313" "cg01417313" "Dura"
"cg19027255" "cg19027255" "Dura"
"cg22082800" "cg22082800" "Dura"
"cg09347176" "cg09347176" "Dura"
"cg09663111" "cg09663111" "Dura"
"cg18580865" "cg18580865" "Dura"
"cg01132502" "cg01132502" "Dura"
"cg22863637" "cg22863637" "Dura"
"cg20250250" "cg20250250" "Dura"
"cg09539496" "cg09539496" "Dura"
"cg14355374" "cg14355374" "Dura"
"cg17184704" "cg17184704" "Dura"
"cg27327911" "cg27327911" "Dura"
"cg19878076" "cg19878076" "Dura"
"cg09580822" "cg09580822" "Dura"
"cg16548911" "cg16548911" "Dura"
"cg04190119" "cg04190119" "Dura"
"cg27010076" "cg27010076" "Dura"
"cg27305383" "cg27305383" "Dura"
"cg00277591" "cg00277591" "Dura"
"cg07109965" "cg07109965" "Dura"
"cg03639964" "cg03639964" "Dura"
"cg02543268" "cg02543268" "Dura"
"cg08884395" "cg08884395" "Dura"
"cg20892840" "cg20892840" "Dura"
"cg11818555" "cg11818555" "Dura"
"cg16500605" "cg16500605" "Dura"
"cg01766252" "cg01766252" "Dura"
"cg01492170" "cg01492170" "Dura"
"cg06317805" "cg06317805" "Dura"
"cg03742724" "cg03742724" "Dura"
"cg00400832" "cg00400832" "Dura"
"cg02970775" "cg02970775" "Dura"
"cg15889057" "cg15889057" "Dura"
"cg15162827" "cg15162827" "Dura"
"cg04481444" "cg04481444" "Dura"
"cg26337312" "cg26337312" "Dura"
"cg16147529" "cg16147529" "Dura"
"cg03238075" "cg03238075" "Dura"
"cg23677311" "cg23677311" "Dura"
"cg07949863" "cg07949863" "Dura"
"cg19816125" "cg19816125" "Dura"
"cg07817024" "cg07817024" "Dura"
"cg22551145" "cg22551145" "Dura"
"cg23727943" "cg23727943" "Dura"
"cg08801887" "cg08801887" "Dura"
"cg13484946" "cg13484946" "Dura"
"cg08313393" "cg08313393" "Dura"
"cg17196465" "cg17196465" "Dura"
"cg13369952" "cg13369952" "Dura"
"cg22508928" "cg22508928" "Dura"
"cg07270153" "cg07270153" "Dura"
"cg16668520" "cg16668520" "Dura"
"cg05379634" "cg05379634" "Dura"
"cg01993552" "cg01993552" "Dura"
"cg23239344" "cg23239344" "Dura"
"cg15920654" "cg15920654" "Dura"
"cg10002850" "cg10002850" "Dura"
"cg01998213" "cg01998213" "Dura"
"cg01669185" "cg01669185" "Dura"
"cg19586661" "cg19586661" "Dura"
"cg02928885" "cg02928885" "Dura"
"cg24932925" "cg24932925" "Dura"
"cg18012556" "cg18012556" "Dura"
"cg09560763" "cg09560763" "Dura"
"cg22442617" "cg22442617" "Dura"
"cg09365002" "cg09365002" "Dura"
"cg14339556" "cg14339556" "Dura"
"cg24136340" "cg24136340" "Dura"
"cg06955158" "cg06955158" "Dura"
"cg09811393" "cg09811393" "Dura"
"cg07072704" "cg07072704" "Dura"
"cg07669969" "cg07669969" "Dura"
"cg10309230" "cg10309230" "Dura"
"cg13702536" "cg13702536" "Dura"
"cg09452751" "cg09452751" "Dura"
"cg19780717" "cg19780717" "Dura"
"cg26300461" "cg26300461" "Dura"
"cg25052456" "cg25052456" "Dura"
"cg18444097" "cg18444097" "Dura"
"cg21107223" "cg21107223" "Dura"
"cg26248066" "cg26248066" "Dura"
"cg23516759" "cg23516759" "Dura"
"cg24206431" "cg24206431" "Dura"
"cg07278181" "cg07278181" "Dura"
"cg21041701" "cg21041701" "Dura"
"cg06544162" "cg06544162" "Dura"
"cg25677288" "cg25677288" "Dura"
"cg19112895" "cg19112895" "Dura"
"cg15421087" "cg15421087" "Dura"
"cg19726343" "cg19726343" "Dura"
"cg04254769" "cg04254769" "Dura"
"cg00667647" "cg00667647" "Dura"
"cg19937572" "cg19937572" "Dura"
"cg06836656" "cg06836656" "Dura"
"cg03510186" "cg03510186" "Dura"
"cg00807684" "cg00807684" "Dura"
"cg21530266" "cg21530266" "Dura"
"cg18143701" "cg18143701" "Dura"
"cg04494562" "cg04494562" "Dura"
"cg25928986" "cg25928986" "Dura"
"cg07557173" "cg07557173" "Dura"
"cg12113981" "cg12113981" "Dura"
"cg07568313" "cg07568313" "Dura"
"cg08912666" "cg08912666" "Dura"
"cg22656521" "cg22656521" "Dura"
"cg16386396" "cg16386396" "Dura"
"cg25734089" "cg25734089" "Dura"
"cg01912298" "cg01912298" "Dura"
"cg11192688" "cg11192688" "Dura"
"cg17995495" "cg17995495" "Dura"
"cg17749710" "cg17749710" "Dura"
"cg23194229" "cg23194229" "Dura"
"cg16523372" "cg16523372" "Dura"
"cg26059977" "cg26059977" "Dura"
"cg18132405" "cg18132405" "Dura"
"cg05618401" "cg05618401" "Dura"
"cg00668592" "cg00668592" "Dura"
"cg17147526" "cg17147526" "Dura"
"cg14274989" "cg14274989" "Dura"
"cg04892919" "cg04892919" "Dura"
"cg21535606" "cg21535606" "Dura"
"cg10030458" "cg10030458" "Dura"
"cg08887327" "cg08887327" "Dura"
"cg01185502" "cg01185502" "Dura"
"cg09508531" "cg09508531" "Dura"
"cg13286614" "cg13286614" "Dura"
"cg22221831" "cg22221831" "Dura"
"cg10315533" "cg10315533" "Dura"
"cg15582335" "cg15582335" "Dura"
"cg19279616" "cg19279616" "Dura"
"cg13496039" "cg13496039" "Dura"
"cg21127079" "cg21127079" "Dura"
"cg16092390" "cg16092390" "Dura"
"cg27507919" "cg27507919" "Dura"
"cg07069742" "cg07069742" "Dura"
"cg00134190" "cg00134190" "Dura"
"cg17721879" "cg17721879" "Dura"
"cg22610388" "cg22610388" "Dura"
"cg19725625" "cg19725625" "Dura"
"cg07431286" "cg07431286" "Dura"
"cg19388996" "cg19388996" "Dura"
"cg15445281" "cg15445281" "Dura"
"cg27018309" "cg27018309" "Dura"
"cg24621258" "cg24621258" "Dura"
"cg07996992" "cg07996992" "Dura"
"cg19723678" "cg19723678" "Dura"
